location_id,latitude,longitude,rainfall_mm,soil_moisture,slope_degree,elevation_m,terrain_roughness,historical_landslide_count,landslide_occurred
1001,28.2568,88.5896,50.0,37.0,62.4,2884,0.749,1,1
1002,26.4138,92.3535,56.3,26.8,65.9,3045,0.698,10,0
1003,28.7223,89.2258,0.4,7.4,52.4,2272,0.636,3,1
1004,27.8355,89.4471,39.0,,48.7,2690,0.378,4,1
1005,24.518,94.0067,35.7,16.3,18.4,1255,0.127,0,0
1006,29.3659,91.7328,69.6,39.8,26.4,1428,0.35,2,0
1007,28.1863,96.7576,52.4,20.0,49.8,2447,0.368,10,1
1008,28.3234,91.032,309.3,44.8,59.0,2680,0.536,6,1
1009,24.7046,94.8987,62.7,14.1,16.9,1374,0.202,1,0
1010,26.4771,92.3804,1.6,20.8,30.9,1739,0.573,4,0
1011,26.0394,94.2695,29.0,21.9,21.6,1310,0.496,6,0
1012,29.0972,93.6971,39.2,32.5,18.9,1494,0.454,4,0
1013,27.5413,92.4914,339.8,56.5,6.4,943,0.328,3,1
1014,28.5252,97.0256,20.9,17.6,22.2,1557,0.21,2,1
1015,26.4388,91.2558,7.5,13.6,17.8,970,0.138,0,0
1016,25.2498,89.6837,3.6,13.7,30.8,1439,0.467,4,0
1017,27.0502,94.4419,25.4,36.5,12.3,1075,0.339,3,1
1018,24.351,96.0371,86.5,19.2,39.9,2024,0.414,4,0
1019,28.552,88.3824,4.3,36.1,42.9,2295,0.475,4,0
1020,27.4742,92.2715,39.3,19.1,6.0,872,0.236,1,1
1021,28.1695,96.4786,158.8,24.8,16.5,967,0.206,2,0
1022,25.9499,95.1214,29.1,15.5,8.7,647,0.184,4,1
1023,29.3388,97.4222,110.6,18.5,5.4,660,0.203,1,0
1024,28.9122,93.0484,193.8,50.7,10.8,723,0.313,2,0
1025,28.2811,94.27,15.1,22.3,6.4,823,0.425,1,0
1026,25.0705,90.8736,22.1,17.5,35.4,2039,0.451,2,0
1027,26.567,97.0016,1.1,25.5,49.4,2406,0.622,1,0
1028,24.2409,91.4802,29.2,27.6,19.4,1383,0.452,3,0
1029,24.8486,95.0159,5.5,34.7,17.8,1169,0.164,3,0
1030,27.7568,91.8298,88.7,,16.2,1247,0.369,5,0
1031,28.0962,93.3373,17.1,27.8,39.6,1841,0.457,5,1
1032,29.3213,94.8379,44.8,35.2,48.8,2569,0.554,6,1
1033,25.792,92.8349,56.9,35.7,7.6,905,0.066,1,0
1034,26.0375,96.6173,5.0,20.5,24.1,1251,0.523,5,0
1035,26.5826,91.9834,42.4,31.4,3.0,609,0.401,2,0
1036,25.0421,94.1472,78.8,15.6,23.8,1651,0.16,2,0
1037,24.7146,91.2524,32.9,32.0,41.6,1939,0.362,0,0
1038,26.6164,91.8775,14.2,36.4,10.0,1015,0.139,1,0
1039,25.248,92.1805,23.4,9.8,22.9,1684,0.465,2,0
1040,27.684,89.1952,12.4,32.2,35.6,2130,0.477,2,0
1041,26.4043,88.8714,98.7,44.7,18.7,1129,0.196,2,1
1042,28.5797,94.3412,11.8,12.9,39.9,2121,0.592,6,0
1043,27.8515,94.2274,32.9,24.7,6.3,1046,0.183,0,0
1044,25.718,94.2976,29.1,36.9,11.5,958,0.261,3,0
1045,28.5774,88.1878,,56.5,6.0,421,0.195,1,1
1046,28.4262,91.1022,7.4,9.3,24.4,1108,0.371,1,0
1047,26.1311,89.8792,4.2,16.0,22.8,1565,0.344,2,0
1048,25.5858,95.3924,24.6,29.2,41.4,2053,0.386,3,0
1049,27.7537,96.176,130.2,25.8,22.7,1181,0.321,3,0
1050,24.7686,90.3435,399.7,58.7,28.5,1483,0.553,3,1
1051,25.0995,94.3446,100.9,16.3,62.5,3130,0.618,6,0
1052,24.0405,89.2289,153.2,26.2,10.5,846,0.437,1,1
1053,28.3281,90.6139,20.6,24.5,59.6,3092,0.617,4,1
1054,27.6567,89.3172,25.1,27.8,41.1,2258,0.582,3,0
1055,27.8784,90.6934,40.8,29.4,39.7,2370,0.382,3,0
1056,28.294,94.41,71.0,36.8,28.6,1866,0.507,5,0
1057,26.524,96.6481,75.4,25.9,20.0,1078,0.239,1,0
1058,27.1281,89.924,6.9,13.9,53.3,2693,0.363,3,0
1059,24.7689,93.1498,52.2,10.7,4.5,294,0.094,0,0
1060,24.6299,94.6632,20.2,13.2,37.6,2298,0.259,3,0
